OpCode,SiteName,Waypoint,Lattitude,Longitude,MapDatum,MapMethod,Date,TimeIn,BruvType,UNIQUE_ID,UTMzone,Easting,Northing,FieldLead,FieldTeam,MonType,Bottom Temp
ARCO01_1512,Aldinga Reef Central Out 01,595,-35.309134,138.425168,WGS84,GPS,42348,0.46875,Stereo,152,54,265903,6089633,Dmiller,BST,Core,20
ARCO02_1512,Aldinga Reef Central Out 02,594,-35.310597,138.425011,WGS84,GPS,42348,0.473611111111111,Stereo,152,54,265893,6089470,Dmiller,BST,Core,20
ARCO03_1512,Aldinga Reef Central Out 03,596,-35.311793,138.424192,WGS84,GPS,42348,0.477083333333333,Stereo,152,54,265822,6089336,Dmiller,BST,Core,20
ARCO04_1512,Aldinga Reef Central Out 04,597,-35.313552,138.423606,WGS84,GPS,42348,0.48125,Stereo,152,54,265774,6089139,Dmiller,BST,Core,20
ARNI01_1512,Aldinga Reef North In 01,588,-35.262566,138.444427999999,WGS84,GPS,42348,0.5625,Stereo,66,54,267521,6094844,Dmiller,BST,Core,19.3
ARNI02_1512,Aldinga Reef North In 02,587,-35.2629439999999,138.441638,WGS84,GPS,42348,0.555555555555556,Stereo,66,54,267269,6094796,Dmiller,BST,Core,19.3
ARNI03_1512,Aldinga Reef North In 03,586,-35.2640129999999,138.439978,WGS84,GPS,42348,0.572916666666667,Stereo,66,54,267121,6094673,Dmiller,BST,Core,19.3
ARNI04_1512,Aldinga Reef North In 04,585,-35.2650149999999,138.437802,WGS84,GPS,42348,0.577083333333333,Stereo,66,54,266925,6094557,Dmiller,BST,Core,19.3
ARNO01_1512,Aldinga Reef North Out 01,5,-35.2882579999999,138.425743,WGS84,GPS,42348,0.395833333333333,Stereo,152,54,265895,6091950,Dmiller,BST,Core,20.6
ARNO02_1512,Aldinga Reef North Out 02,6,-35.290101,138.425875999999,WGS84,GPS,42348,0.402777777777778,Stereo,152,54,265913,6091746,Dmiller,BST,Core,20.6
ARNO03_1512,Aldinga Reef North Out 03,7,-35.291901,138.426227,WGS84,GPS,42348,0.411111111111111,Stereo,152,54,265950,6091547,Dmiller,BST,Core,20.6
ARNO04_1512,Aldinga Reef North Out 04,8,-35.2937239999999,138.426425999999,WGS84,GPS,42348,0.416666666666667,Stereo,152,54,265973,6091345,Dmiller,BST,Core,20.6
ARSI01_1512,Aldinga Reef South In 01,1,-35.275255,138.429645999999,WGS84,GPS,42348,0.411805555555556,Stereo,66,54,266213,6093402,Dmiller,BST,Core,20
ARSI02_1512,Aldinga Reef South In 02,2,-35.277158,138.429701999999,WGS84,GPS,42348,0.407638888888889,Stereo,66,54,266223,6093191,Dmiller,BST,Core,20
ARSI03_1512,Aldinga Reef South In 03,3,-35.2790889999999,138.428674,WGS84,GPS,42348,0.400694444444444,Stereo,66,54,266135,6092974,Dmiller,BST,Core,20
ARSI04_1512,Aldinga Reef South In 04,4,-35.2808909999999,138.428043,WGS84,GPS,42348,0.395138888888889,Stereo,66,54,266083,6092773,Dmiller,BST,Core,20
ARCI01_1512,Aldinga Reef Central In 01,593,-35.267403,138.431681,WGS84,GPS,42348,0.488888888888889,Stereo,66,54,266375,6094278,Dmiller,BST,Core,19.6999999999999
ARCI02_1512,Aldinga Reef Central In 02,592,-35.26867,138.431031999999,WGS84,GPS,42348,0.484027777777778,Stereo,66,54,266320,6094136,Dmiller,BST,Core,19.6999999999999
