OpCode,SZname,SZFullname,SiteName,InOutSZ,YearMonth,FieldSeason,MPZoneID,MPNAME,RES_NUM
ARCO01_1512,AR,Aldinga Reef,ARC,O,1512,2015_16,66,Encounter,15
ARCO02_1512,AR,Aldinga Reef,ARC,O,1512,2015_16,66,Encounter,15
ARCO03_1512,AR,Aldinga Reef,ARC,O,1512,2015_16,66,Encounter,15
ARCO04_1512,AR,Aldinga Reef,ARC,O,1512,2015_16,66,Encounter,15
ARNI01_1512,AR,Aldinga Reef,ARN,I,1512,2015_16,66,Encounter,15
ARNI02_1512,AR,Aldinga Reef,ARN,I,1512,2015_16,66,Encounter,15
ARNI03_1512,AR,Aldinga Reef,ARN,I,1512,2015_16,66,Encounter,15
ARNI04_1512,AR,Aldinga Reef,ARN,I,1512,2015_16,66,Encounter,15
ARNO01_1512,AR,Aldinga Reef,ARN,O,1512,2015_16,66,Encounter,15
ARNO02_1512,AR,Aldinga Reef,ARN,O,1512,2015_16,66,Encounter,15
ARNO03_1512,AR,Aldinga Reef,ARN,O,1512,2015_16,66,Encounter,15
ARNO04_1512,AR,Aldinga Reef,ARN,O,1512,2015_16,66,Encounter,15
ARSI01_1512,AR,Aldinga Reef,ARS,I,1512,2015_16,66,Encounter,15
ARSI02_1512,AR,Aldinga Reef,ARS,I,1512,2015_16,66,Encounter,15
ARSI03_1512,AR,Aldinga Reef,ARS,I,1512,2015_16,66,Encounter,15
ARSI04_1512,AR,Aldinga Reef,ARS,I,1512,2015_16,66,Encounter,15
ARCI01_1512,AR,Aldinga Reef,ARC,I,1512,2015_16,66,Encounter,15
ARCI02_1512,AR,Aldinga Reef,ARC,I,1512,2015_16,66,Encounter,15
ARCI03_1512,AR,Aldinga Reef,ARC,I,1512,2015_16,66,Encounter,15
ARCI04_1512,AR,Aldinga Reef,ARC,I,1512,2015_16,66,Encounter,15
ARSO02_1512,AR,Aldinga Reef,ARS,O,1512,2015_16,66,Encounter,15
ARSO03_1512,AR,Aldinga Reef,ARS,O,1512,2015_16,66,Encounter,15
ARSO04_1512,AR,Aldinga Reef,ARS,O,1512,2015_16,66,Encounter,15
CHHO01_1511,CH,Chinamans Hat,CHH,O,1511,2015_16,55,Southern Spencer Gulf,12
CHHO02_1511,CH,Chinamans Hat,CHH,O,1511,2015_16,55,Southern Spencer Gulf,12
CHHO03_1511,CH,Chinamans Hat,CHH,O,1511,2015_16,55,Southern Spencer Gulf,12
CHHO04_1511,CH,Chinamans Hat,CHH,O,1511,2015_16,55,Southern Spencer Gulf,12
CHNI01_1511,CH,Chinamans Hat,CHN,I,1511,2015_16,55,Southern Spencer Gulf,12
CHNI02_1511,CH,Chinamans Hat,CHN,I,1511,2015_16,55,Southern Spencer Gulf,12
CHNI03_1511,CH,Chinamans Hat,CHN,I,1511,2015_16,55,Southern Spencer Gulf,12
CHNI04_1511,CH,Chinamans Hat,CHN,I,1511,2015_16,55,Southern Spencer Gulf,12
CHNO01_1511,CH,Chinamans Hat,CHN,O,1511,2015_16,55,Southern Spencer Gulf,12
CHNO02_1511,CH,Chinamans Hat,CHN,O,1511,2015_16,55,Southern Spencer Gulf,12
CHNO03_1511,CH,Chinamans Hat,CHN,O,1511,2015_16,55,Southern Spencer Gulf,12
CHNO04_1511,CH,Chinamans Hat,CHN,O,1511,2015_16,55,Southern Spencer Gulf,12
CHSI01_1511,CH,Chinamans Hat,CHS,I,1511,2015_16,55,Southern Spencer Gulf,12
CHSI02_1511,CH,Chinamans Hat,CHS,I,1511,2015_16,55,Southern Spencer Gulf,12
CHSI03_1511,CH,Chinamans Hat,CHS,I,1511,2015_16,55,Southern Spencer Gulf,12
CHSI04_1511,CH,Chinamans Hat,CHS,I,1511,2015_16,55,Southern Spencer Gulf,12
CHSO01_1511,CH,Chinamans Hat,CHS,O,1511,2015_16,55,Southern Spencer Gulf,12
CHSO02_1511,CH,Chinamans Hat,CHS,O,1511,2015_16,55,Southern Spencer Gulf,12
CHSO03_1511,CH,Chinamans Hat,CHS,O,1511,2015_16,55,Southern Spencer Gulf,12
CHSO04_1511,CH,Chinamans Hat,CHS,O,1511,2015_16,55,Southern Spencer Gulf,12
CSEI01_1511,CH,Chinamans Hat,CSE,I,1511,2015_16,55,Southern Spencer Gulf,12
CSEI02_1511,CH,Chinamans Hat,CSE,I,1511,2015_16,55,Southern Spencer Gulf,12
CSEI03_1511,CH,Chinamans Hat,CSE,I,1511,2015_16,55,Southern Spencer Gulf,12
CSEI04_1511,CH,Chinamans Hat,CSE,I,1511,2015_16,55,Southern Spencer Gulf,12
PINI01_1604,PI,The Pages,PIN,I,1604,2015_16,74,Encounter,15
PINI02_1604,PI,The Pages,PIN,I,1604,2015_16,74,Encounter,15
PINI03_1604,PI,The Pages,PIN,I,1604,2015_16,74,Encounter,15
PINI04_1604,PI,The Pages,PIN,I,1604,2015_16,74,Encounter,15
PIEI01_1604,PI,The Pages,PIE,I,1604,2015_16,74,Encounter,15
PIEI02_1604,PI,The Pages,PIE,I,1604,2015_16,74,Encounter,15
PIEI03_1604,PI,The Pages,PIE,I,1604,2015_16,74,Encounter,15
PIEI04_1604,PI,The Pages,PIE,I,1604,2015_16,74,Encounter,15
PIWI01_1604,PI,The Pages,PIW,I,1604,2015_16,74,Encounter,15
PIWI02_1604,PI,The Pages,PIW,I,1604,2015_16,74,Encounter,15
PIWI03_1604,PI,The Pages,PIW,I,1604,2015_16,74,Encounter,15
PIWI04_1604,PI,The Pages,PIW,I,1604,2015_16,74,Encounter,15
PINO01_1604,PI,The Pages,PIN,O,1604,2015_16,74,Encounter,15
PINO02_1604,PI,The Pages,PIN,O,1604,2015_16,74,Encounter,15
PINO03_1604,PI,The Pages,PIN,O,1604,2015_16,74,Encounter,15
PINO04_1604,PI,The Pages,PIN,O,1604,2015_16,74,Encounter,15
PIWO01_1604,PI,The Pages,PIW,O,1604,2015_16,74,Encounter,15
PIWO02_1604,PI,The Pages,PIW,O,1604,2015_16,74,Encounter,15
PIWO03_1604,PI,The Pages,PIW,O,1604,2015_16,74,Encounter,15
PIWO04_1604,PI,The Pages,PIW,O,1604,2015_16,74,Encounter,15
PIEO01_1604,PI,The Pages,PIE,O,1604,2015_16,74,Encounter,15
PIEO02_1604,PI,The Pages,PIE,O,1604,2015_16,74,Encounter,15
PIEO03_1604,PI,The Pages,PIE,O,1604,2015_16,74,Encounter,15
