CAABcode,Family,Genus,Species,Species2,COMMON NAME
23607001,Sepiidae,Sepia,apama,Sepia apama,Giant Cuttlefish
23617005,Loliginidae,Sepioteuthis,australis,Sepioteuthis australis,Southern Calamari Squid
23659921,Octopodidae,Octopodidae,sp, sp,Octopus
24325002,Gastropteridae,Sagaminopteron,ornatum,Sagaminopteron ornatum,Bat-wing seaslug
28820001,Palinuridae,Jasus,edwardsii,Jasus edwardsii,Red Rock Lobster
28835e3,Paguridae,PAGURIDAE,sp,PAGURIDAE sp,Hermit crab
28880010,Majidae,Leptomithrax,gaimardii,Leptomithrax gaimardii,Spider crab
28880911,Majidae,MAJIDAE,sp,MAJIDAE sp,Spider crab
28911010,Portunidae,Nectocarcinus,integrifrons,Nectocarcinus integrifrons,Rough Rock Crab
37007001,Heterodontidae,Heterodontus,portusjacksoni,Heterodontus portusjacksoni,Port Jackson Shark
37010003,Lamnidae,Carcharodon,carcharias,Carcharodon carcharias,White Shark
37013004,Parascylliidae,Parascyllium,variolatum,Parascyllium variolatum,Varied Carpetshark
37013005,Parascylliidae,Parascyllium,ferrugineum,Parascyllium ferrugineum,Rusty Carpetshark
37015003,Scyliorhinidae,Asymbolus,vincenti,Asymbolus vincenti,Gulf Catshark
37015902,Scyliorhinidae,Asymbolus,sp,Asymbolus sp,Catshark
37017001,Triakidae,Mustelus,antarcticus,Mustelus antarcticus,Gummy Shark
37017008,Triakidae,Galeorhinus,galeus,Galeorhinus galeus,School Shark
37027001,Rhinobatidae,Aptychotrema,vincentiana,Aptychotrema vincentiana,Western Shovelnose Ray
37027011,Rhinobatidae,Trygonorrhina,dumerilii,Trygonorrhina dumerilii,Banjo Shark
37035001,Dasyatidae,Dasyatis,brevicaudata,Dasyatis brevicaudata,Smooth Stingray
37038903,Urolophidae,Urolophus,sp,Urolophus sp,Stingaree
37039001,Myliobatidae,Myliobatis,tenuicaudatus,Myliobatis tenuicaudatus,Southern Eagle Ray
37060006,Muraenidae,Gymnothorax,prasinus,Gymnothorax prasinus,Green Moray
37117001,Aulopidae,Latropiscis,purpurissatus,Latropiscis purpurissatus,Sergeant Baker
37206e3,Gobiesocidae,GOBIESOCIDAE,sp,GOBIESOCIDAE sp,Clingfish
37206910,Gobiesocidae,Parvicrepis,sp,Parvicrepis sp,Clingfish
37224003,Moridae,Pseudophycis,barbata,Pseudophycis barbata,Bearded Rock Cod
37224005,Moridae,Lotella,rhacina,Lotella rhacina,Largetooth Beardie
37234001,Hemiramphidae,Hyporhamphus,melanochir,Hyporhamphus melanochir,Southern Garfish
37246911,Atherinidae,Atherinidae,sp, sp,"Hardyheads, Silversides, Whitebait"
37247001,Notocheiridae,Iso,rhothophilus,Iso rhothophilus,Surf Sardine
37258004,Berycidae,Centroberyx,gerrardi,Centroberyx gerrardi,Bight Redfish
37258005,Berycidae,Centroberyx,lineatus,Centroberyx lineatus,Swallowtail
37282900,Syngnathidae,Hippocampus,sp,Hippocampus sp,Seahorses
37287003,Neosebastidae,Neosebastes,pandus,Neosebastes pandus,Bighead Gurnard Perch
37287004,Neosebastidae,Neosebastes,bougainvillii,Neosebastes bougainvillii,Gulf Gurnard Perch
