OpCode,MonType,Bottom Temp,TimeIn,BruvType,UNIQUE_ID
ARCO01_1512,Core,20,0.46875,Stereo,152
ARCO02_1512,Core,20,0.473611111111111,Stereo,152
ARCO03_1512,Core,20,0.477083333333333,Stereo,152
ARCO04_1512,Core,20,0.48125,Stereo,152
ARNI01_1512,Core,19.3,0.5625,Stereo,66
ARNI02_1512,Core,19.3,0.555555555555556,Stereo,66
ARNI03_1512,Core,19.3,0.572916666666667,Stereo,66
ARNI04_1512,Core,19.3,0.577083333333333,Stereo,66
ARNO01_1512,Core,20.6,0.395833333333333,Stereo,152
ARNO02_1512,Core,20.6,0.402777777777778,Stereo,152
ARNO03_1512,Core,20.6,0.411111111111111,Stereo,152
ARNO04_1512,Core,20.6,0.416666666666667,Stereo,152
ARSI01_1512,Core,20,0.411805555555556,Stereo,66
ARSI02_1512,Core,20,0.407638888888889,Stereo,66
ARSI03_1512,Core,20,0.400694444444444,Stereo,66
ARSI04_1512,Core,20,0.395138888888889,Stereo,66
ARCI01_1512,Core,19.6999999999999,0.488888888888889,Stereo,66
ARCI02_1512,Core,19.6999999999999,0.484027777777778,Stereo,66
ARCI03_1512,Core,19.6999999999999,0.478472222222222,Stereo,66
ARCI04_1512,Core,19.6999999999999,0.472222222222222,Stereo,66
ARSO02_1512,Core,19.8999999999999,0.545138888888889,Stereo,152
ARSO03_1512,Core,19.8999999999999,0.549305555555556,Stereo,152
ARSO04_1512,Core,19.8999999999999,0.552777777777778,Stereo,152
CHHO01_1511,Core,17.8,1:52:17 PM,Stereo,144
CHHO02_1511,Core,17.8,1:46:31 PM,Stereo,144
CHHO03_1511,Core,17.8,1:35:42 PM,Stereo,144
CHHO04_1511,Core,17.8,1:30:54 PM,Stereo,144
CHNI01_1511,Core,18.3,11:33:56 AM,Stereo,55
CHNI02_1511,Core,18.3,11:40:33 AM,Stereo,55
CHNI03_1511,Core,18.3,11:49:43 AM,Stereo,55
CHNI04_1511,Core,18.3,11:56:10 AM,Stereo,55
CHNO01_1511,Core,17.4,11:23:38 AM,Stereo,144
CHNO02_1511,Core,17.4,11:39:39 AM,Stereo,144
CHNO03_1511,Core,17.4,11:48:17 AM,Stereo,144
CHNO04_1511,Core,17.4,11:57:48 AM,Stereo,144
CHSI01_1511,Core,17.2,2:26:05 PM,Stereo,55
CHSI02_1511,Core,17.2,1:35:51 PM,Stereo,55
CHSI03_1511,Core,17.2,1:43:11 PM,Stereo,55
CHSI04_1511,Core,17.2,1:49:53 PM,Stereo,55
CHSO01_1511,Core,17.9,1/01/1900 9:32:07 AM,Stereo,144
CHSO02_1511,Core,17.9,1/01/1900 9:23:14 AM,Stereo,144
CHSO03_1511,Core,17.9,1/01/1900 9:14:19 AM,Stereo,144
CHSO04_1511,Core,17.9,1/01/1900 9:06:16 AM,Stereo,144
CSEI01_1511,Core,17.5,1/01/1900 9:26:44 AM,Stereo,55
CSEI02_1511,Core,17.5,1/01/1900 9:35:39 AM,Stereo,55
