CAABcode,COMMON NAME,Max length ,Family,Genus,Species
23607001,Giant Cuttlefish,600,Sepiidae,Sepia,apama
23617005,Southern Calamari Squid,400,Loliginidae,Sepioteuthis,australis
23659921,Octopus,NA,Octopodidae,NA,sp
24325002,Bat-wing seaslug,NA,Gastropteridae,Sagaminopteron,ornatum
28820001,Red Rock Lobster,NA,Palinuridae,Jasus,edwardsii
28835e3,Hermit crab,NA,Paguridae,PAGURIDAE,sp
28880010,Spider crab,NA,Majidae,Leptomithrax,gaimardii
28880911,Spider crab,NA,Majidae,MAJIDAE,sp
28911010,Rough Rock Crab,NA,Portunidae,Nectocarcinus,integrifrons
37007001,Port Jackson Shark,1650,Heterodontidae,Heterodontus,portusjacksoni
37010003,White Shark,6000,Lamnidae,Carcharodon,carcharias
37013004,Varied Carpetshark,910,Parascylliidae,Parascyllium,variolatum
37013005,Rusty Carpetshark,800,Parascylliidae,Parascyllium,ferrugineum
37015003,Gulf Catshark,560,Scyliorhinidae,Asymbolus,vincenti
37015902,Catshark,600,Scyliorhinidae,Asymbolus,sp
37017001,Gummy Shark,1750,Triakidae,Mustelus,antarcticus
37017008,School Shark,1800,Triakidae,Galeorhinus,galeus
37027001,Western Shovelnose Ray,790,Rhinobatidae,Aptychotrema,vincentiana
37027011,Banjo Shark,900,Rhinobatidae,Trygonorrhina,dumerilii
37035001,Smooth Stingray,2000,Dasyatidae,Dasyatis,brevicaudata
37038903,Stingaree,500,Urolophidae,Urolophus,sp
37039001,Southern Eagle Ray,1000,Myliobatidae,Myliobatis,tenuicaudatus
37060006,Green Moray,1500,Muraenidae,Gymnothorax,prasinus
37117001,Sergeant Baker,600,Aulopidae,Latropiscis ,purpurissatus
37206e3,Gobie,NA,Gobiesocidae,GOBIESOCIDAE,sp
37206910,Clingfish,30,Gobiesocidae,Parvicrepis,sp
37224003,Bearded Rock Cod,640,Moridae,Pseudophycis,barbata
37224005,Largetooth Beardie,500,Moridae,Lotella,rhacina
37234001,Southern Garfish,520,Hemiramphidae,Hyporhamphus,melanochir
37246911,"Hardyheads, Silversides, Whitebait",120,Atherinidae,NA,sp
37247001,Surf Sardine,75,Notocheiridae,Iso,rhothophilus
37258004,Bight Redfish,460,Berycidae,Centroberyx,gerrardi
37258005,Swallowtail,360,Berycidae,Centroberyx,lineatus
37282900,Seahorses,300,Syngnathidae,Hippocampus,sp
37287003,Bighead Gurnard Perch,480,Neosebastidae,Neosebastes,pandus
37287004,Gulf Gurnard Perch,300,Neosebastidae,Neosebastes,bougainvillii
37287005,Common Gurnard Perch,400,Neosebastidae,Neosebastes,scorpaenoides
37287947,Gurnard,NA,Neosebastidae,NEOSEBASTIDAE,sp
37287952,Waspfish,140,Tetrarogidae,Tetrarogidae,sp
37296037,Southern Bluespotted Flathead,900,Platycephalidae,Platycephalus,speculator
37296913,Flathead,900,Platycephalidae,Platycephalus,sp
37311003,Barber Perch,250,Serranidae,Caesioperca,rasor
37311005,Harlequin Fish,750,Serranidae,Othos,dentex
37311037,Banded Seaperch,300,Serranidae,Hypoplectrodes,nigroruber
37316009,Southern Blue Devil,400,Plesiopidae,Paraplesiops,meleagris
37316017,Yellowhead Hulafish,150,Plesiopidae,Trachinops,noarlungae
37321020,Western Striped Grunter,280,Terapontidae,Pelates,octolineatus
37327002,Longfin Pike,840,Dinolestidae,Dinolestes,lewini
37327032,Wood's Siphonfish,60,Apogonidae,Siphamia,cephalotes
37327033,Southern Cardinalfish,140,Apogonidae,Vincentia,conspersa
3733e4,Whiting unidentified,NA,Sillaginidae,NA,sp
37330001,King George Whiting,720,Sillaginidae,Sillaginodes,punctatus
37330002,Southern School Whiting,330,Sillaginidae,Sillago,bassensis
37330904,Whiting,360,Sillaginidae,Sillago,sp
37337003,Yellowtail Scad,500,Carangidae,Trachurus,novaezelandiae
37337006,Yellowtail Kingfish,2500,Carangidae,Seriola,lalandi
