Family,Genus,Species,Code
Aplodactylidae,Aplodactylus,arctidens,37376001
Apogonidae,Siphamia,cephalotes,37327032
Arripidae,Arripis,georgianus,37344001
Arripidae,Arripis,truttaceus,37344004
Aulopidae,Latropiscis,purpurissatus,37117001
Berycidae,Centroberyx,gerrardi,37258004
Berycidae,Centroberyx,lineatus,37258005
Carangidae,Pseudocaranx,sp,37337908
Carangidae,Pseudocaranx,sp,37337924
Carangidae,Pseudocaranx,wrighti,37337063
Carangidae,Seriola,hippos,37337007
Carangidae,Seriola,lalandi,37337006
Carangidae,Trachurus,novaezelandiae,37337003
Chaetodontidae,Chelmonops,curiosus,37365066
Cheilodactylidae,Cheilodactylus,nigripes,37377001
Cheilodactylidae,Dactylophora,nigricans,37377005
Cheilodactylidae,Nemadactylus,valenciennesi,37377004
Chironemidae,Chironemus,maculosus,37375002
Dasyatidae,Dasyatis,brevicaudata,37035001
Dinolestidae,Dinolestes,lewini,37327002
Dinolestidae,Dinolestes,lewini,37327041
Diodontidae,Diodon,nichthemerus,37469012
Diodontidae,Diodon,nicthemerus,37469001
Enoplosidae,Enoplosus,armatus,37366001
Gastropteridae,Sagaminopteron,ornatum,24325002
Gerreidae,Parequula,melbournensis,37349001
Gobiesocidae,GOBIESOCIDAE,sp,37206e3
Gobiesocidae,Parvicrepis,sp,37206910
Heterodontidae,Heterodontus,portusjacksoni,37007001
Kyphosidae,Girella,zebra,37361008
Kyphosidae,Kyphosus,sydneyanus,37361001
Labridae,Achoerodus,gouldii,37384002
Labridae,Austrolabrus,maculatus,37384025
Labridae,Bodianus,frenchii,37384057
Labridae,Dotalabrus,aurantiacus,37384018
Labridae,Eupetrichthys,angustipes,37384105
Labridae,LABRIDAE,sp,37384e3
Labridae,Notolabrus,parilus,37384022
Labridae,Notolabrus,parilus,99379455
Labridae,Notolabrus,tetricus,37384003
Labridae,Ophthalmolepis,lineolatus,37384040
Labridae,Pictilabrus,laticlavius,37384020
Labridae,Pseudolabrus,rubicundus,37384023
Lamnidae,Carcharodon,carcharias,37010003
Loliginidae,Sepioteuthis,australis,23617005
Majidae,Leptomithrax,gaimardii,28880010
Majidae,MAJIDAE,sp,28880911
Monacanthidae,Acanthaluteres,brownii,37465001
Monacanthidae,Acanthaluteres,sp,37465905
Monacanthidae,Acanthaluteres,spilomelanurus,37465043
Monacanthidae,Acanthaluteres,vittiger,37465002
Monacanthidae,Brachaluteres,jacksonianus,37465025
Monacanthidae,Eubalichthys,cyanoura,37465055
Monacanthidae,Eubalichthys,mosaicus,37465003
Monacanthidae,Meuschenia,australis,37465008
Monacanthidae,Meuschenia,flavolineata,37465035
Monacanthidae,Meuschenia,freycineti,37465036
Monacanthidae,Meuschenia,galii,37465040
