ID,SPECIES_NAME,class,Family,Temp-Trop (23cutoff),MP (5-95),MP(5min-95max),confidence
1,Sebastes carnatus,Actinopterygii,Sebastidae,temperate,15.4783,16.476,1
2,Seriolella brama,Actinopterygii,Centrolophidae,temperate,15.504000000000001,15.611899999999999,1
3,Vincentia conspersa,Actinopterygii,Apogonidae,temperate,15.52915,15.6237,3
4,Heteroclinus kuiteri,Actinopterygii,Clinidae,temperate,15.54425,16.25725,1
5,Caesioperca rasor,Actinopterygii,Serranidae,temperate,15.6675,15.8935,3
6,Conger verreauxi,Actinopterygii,Congridae,temperate,15.6829,15.5685,1
7,Bovichtus angustifrons,Actinopterygii,Bovichtidae,temperate,15.7386,15.8442,3
8,Trachinus draco,Actinopterygii,#N/A,temperate,15.740475,14.625800000000002,2
9,Neosebastes scorpaenoides,Actinopterygii,Scorpaenidae,temperate,15.743025,15.564125,3
10,Neoclinus sp. [stephensae],Actinopterygii,Chaenopsidae,temperate,15.782,16.076,0
11,Forsterygion varium,Actinopterygii,Tripterygiidae,temperate,15.818,15.874500000000001,2
12,Sebastes serranoides,Actinopterygii,Sebastidae,temperate,15.82225,16.989375,2
13,Dotalabrus aurantiacus,Actinopterygii,Labridae,temperate,15.845725,16.1685,3
14,Notolabrus tetricus,Actinopterygii,Labridae,temperate,15.8595,16.013125000000002,3
15,Callogobius mucosus,Actinopterygii,Gobiidae,temperate,15.863,16.086,1
16,Notolabrus fucicola,Actinopterygii,Labridae,temperate,15.872,15.894,3
17,Phanerodon atripes,Actinopterygii,Embiotocidae,temperate,15.872,16.442999999999998,1
18,Cephaloscyllium ventriosum,Chondrichthyes,Scyliorhinidae,temperate,15.875499999999999,16.41805,1
19,Parablennius gattorugine,Actinopterygii,Blenniidae,temperate,15.885150000000001,17.110500000000002,3
20,Trianectes bucephalus,Actinopterygii,Tripterygiidae,temperate,15.902899999999999,16.039900000000003,1
21,Hippocampus abdominalis,Actinopterygii,Syngnathidae,temperate,15.9072,15.9332,3
22,Pseudoblennius cottoides,Actinopterygii,Cottidae,temperate,15.9541,15.8844,1
23,Aplodactylus arctidens,Actinopterygii,Aplodactylidae,temperate,15.962,16.3295,3
24,Atractoscion sp. [nobilis],Actinopterygii,Sciaenidae,temperate,15.962,16.5535,0
25,Lythrypnus zebra,Actinopterygii,Gobiidae,temperate,15.962,16.5535,1
26,Sebastes rastrelliger,Actinopterygii,Sebastidae,temperate,15.962,16.5535,1
27,Rhacochilus toxotes,Actinopterygii,Embiotocidae,temperate,16.01,17.2455,2
28,Atherinason hepsetoides,Actinopterygii,Atherinidae,temperate,16.021,16.1735,1
29,Afurcagobius tamarensis,Actinopterygii,Gobiidae,temperate,16.0335,16.1155,1
30,Stigmatopora nigra,Actinopterygii,Syngnathidae,temperate,16.038,16.047,1
31,Heteroclinus wilsoni,Actinopterygii,Clinidae,temperate,16.03935,16.1667,1
32,Chelon labrosus,Actinopterygii,Mugilidae,temperate,16.04685,13.078050000000001,3
33,Hippocampus bleekeri,Actinopterygii,Syngnathidae,temperate,16.10155,16.3166,1
34,Heteroclinus adelaidae,Actinopterygii,Clinidae,temperate,16.124,16.371125,1
35,Latridopsis ciliaris,Actinopterygii,Latridae,temperate,16.14075,16.86645,1
36,Tasmanogobius spp.,Actinopterygii,Gobiidae,temperate,16.151,16.258,0
37,Aetapcus maculatus,Actinopterygii,Pataecidae,temperate,16.1687,16.8675,2
38,Arenigobius bifrenatus,Actinopterygii,Gobiidae,temperate,16.174275,16.114675,1
39,Haletta semifasciata,Actinopterygii,Odacidae,temperate,16.1888,16.99335,2
40,Sebastes atrovirens,Actinopterygii,Sebastidae,temperate,16.2173,17.1019,2
41,Genypterus tigerinus,Actinopterygii,Ophidiidae,temperate,16.225775,16.2001,1
42,Nesogobius pulchellus,Actinopterygii,Gobiidae,temperate,16.243499999999997,16.352,1
