FAMILY,GENUS,SPECIES,CODE,Min length,Max length 
Hydrobiidae,Fluvidona,dulvertonensis,24111015,NA,NA
Hydrobiidae,Fluvidona,dunrobinensis,24111016,NA,NA
Hydrobiidae,Austropyrgus,dyerianus,24111017,NA,NA
Hydrobiidae,Austropyrgus,elongatus,24111018,NA,NA
Hydrobiidae,Austropyrgus,grampianensis,24111019,NA,NA
Hydrobiidae,Austropyrgus,gunnii,24111020,NA,NA
Hydrobiidae,Austropyrgus,niger,24111021,NA,NA
Hydrobiidae,Austropyrgus,petterdianus,24111023,NA,NA
Anabathridae,Pisinna,tropica,24106043,NA,NA
Hydrobiidae,Beddomeia,tumida,24111010,NA,NA
Iravadiidae,NA,NA,2411e4,NA,NA
Rissoidae,Merelina,NA,24108905,NA,NA
Rissoidae,Onoba,NA,24108906,NA,NA
Rissoidae,Phosinella,NA,24108907,NA,NA
Rissoidae,Powellisetia,NA,24108908,NA,NA
Rissoidae,Pusillina,NA,24108909,NA,NA
Rissoidae,NA,NA,24108911,NA,NA
Rissoidae,Benthonella,NA,24108914,NA,NA
Epigridae,NA,NA,24109e3,NA,NA
Epigridae,Epigrus,columnaria,24109001,NA,NA
Epigridae,Epigrus,cylindraceus,24109002,NA,NA
Epigridae,Epigrus,dissimilis,24109003,NA,NA
Epigridae,Epigrus,obesa,24109004,NA,NA
Iravadiidae,Iravadia,sublevis,24110014,NA,NA
Epigridae,Epigrus,NA,24109901,NA,NA
Iravadiidae,Iravadia,densilabrum,24110013,NA,NA
Iravadiidae,Iravadia,carpentariensis,24110001,NA,NA
Iravadiidae,Iravadia,capitata,24110002,NA,NA
Iravadiidae,Iravadia,angulata,24110003,NA,NA
Iravadiidae,Iravadia,australis,24110004,NA,NA
Iravadiidae,Fluviocingula,resima,24110005,NA,NA
Iravadiidae,Iravadia,mahimensis,24110006,NA,NA
Iravadiidae,Iravadia,delicata,24110007,NA,NA
Iravadiidae,Iravadia,subquadrata,24110008,NA,NA
Iravadiidae,Chevallieria,australis,24110009,NA,NA
Iravadiidae,Nozeba,topaziaca,24110010,NA,NA
Iravadiidae,Iravadia,quadrasi,24110011,NA,NA
Hydrobiidae,Austropyrgus,smithii,24111026,NA,NA
Epigridae,Epigrus,truncata,24109005,NA,NA
Hydrobiidae,Austropyrgus,juliae,24111089,NA,NA
