key,Rank,Taxa,originalName,Kingdom,Phylum,Class,Order,Family,Genus,Species,scientificName,canonicalName,Status,Confidence,Match,Stamp
2406699,SPECIES,Acanthaluteres brownii,Acanthaluteres brownii,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Acanthaluteres,Acanthaluteres brownii,"Acanthaluteres brownii (Richardson, 1846)",Acanthaluteres brownii,ACCEPTED,100,EXACT,2019-02-04T16:33:26Z
2406702,SPECIES,Acanthaluteres vittiger,Acanthaluteres vittiger,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Acanthaluteres,Acanthaluteres vittiger,"Acanthaluteres vittiger (Castelnau, 1873)",Acanthaluteres vittiger,ACCEPTED,100,EXACT,2019-02-04T16:33:27Z
2383158,SPECIES,Achoerodus gouldii,Achoerodus gouldii,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Achoerodus,Achoerodus gouldii,"Achoerodus gouldii (Richardson, 1843)",Achoerodus gouldii,ACCEPTED,100,EXACT,2019-02-04T16:33:28Z
204,CLASS,Actinopterygii,Actinopterygii spp.,Animalia,Chordata,Actinopterygii,NA,NA,NA,NA,Actinopterygii,Actinopterygii,ACCEPTED,85,EXACT,2019-02-04T16:33:28Z
1,KINGDOM,Animalia,Aeolidiid spp.,Animalia,NA,NA,NA,NA,NA,NA,Animalia,Animalia,ACCEPTED,99,HIGHERRANK,2019-02-04T16:33:28Z
2337068,SPECIES,Aetapcus maculatus,Aetapcus maculatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Pataecidae,Aetapcus,Aetapcus maculatus,"Aetapcus maculatus (Günther, 1861)",Aetapcus maculatus,ACCEPTED,100,EXACT,2019-02-04T16:33:29Z
2274027,SPECIES,Allostichaster polyplax,Allostichaster polyplax,Animalia,Echinodermata,Asteroidea,Forcipulatida,Stichasteridae,Allostichaster,Allostichaster polyplax,"Allostichaster polyplax (Müller & Troschel, 1844)",Allostichaster polyplax,ACCEPTED,100,EXACT,2019-02-04T16:33:29Z
2278902,SPECIES,Amblypneustes elevatus,Amblypneustes elevatus,Animalia,Echinodermata,Echinoidea,Camarodonta,Temnopleuridae,Amblypneustes,Amblypneustes elevatus,"Amblypneustes elevatus (Hutton, 1872)",Amblypneustes elevatus,ACCEPTED,100,EXACT,2019-02-04T16:33:30Z
4875531,SPECIES,Amblypneustes ovum,Amblypneustes ovum,Animalia,Echinodermata,Echinoidea,Camarodonta,Temnopleuridae,Amblypneustes,Amblypneustes ovum,"Amblypneustes ovum (Lamarck, 1816)",Amblypneustes ovum,ACCEPTED,100,EXACT,2019-02-04T16:33:30Z
4875527,SPECIES,Amblypneustes pallidus,Amblypneustes pallidus,Animalia,Echinodermata,Echinoidea,Camarodonta,Temnopleuridae,Amblypneustes,Amblypneustes pallidus,"Amblypneustes pallidus (Lamarck, 1816)",Amblypneustes pallidus,ACCEPTED,100,EXACT,2019-02-04T16:33:31Z
2278901,GENUS,Amblypneustes,Amblypneustes spp.,Animalia,Echinodermata,Echinoidea,Camarodonta,Temnopleuridae,Amblypneustes,NA,"Amblypneustes L.Agassiz, 1841",Amblypneustes,ACCEPTED,85,EXACT,2019-02-04T16:33:31Z
5727591,SPECIES,Amoria undulata,Amoria undulata,Animalia,Mollusca,Gastropoda,Neogastropoda,Volutidae,Amoria,Amoria undulata,"Amoria undulata (Lamarck, 1804)",Amoria undulata,ACCEPTED,100,EXACT,2019-02-04T16:33:32Z
2408014,SPECIES,Anoplocapros amygdaloides,Anoplocapros amygdaloides,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Aracanidae,Anoplocapros,Anoplocapros amygdaloides,"Anoplocapros amygdaloides Fraser-Brunner, 1941",Anoplocapros amygdaloides,ACCEPTED,100,EXACT,2019-02-04T16:33:32Z
2272964,SPECIES,Anthaster valvulatus,Anthaster valvulatus,Animalia,Echinodermata,Asteroidea,Valvatida,Oreasteridae,Anthaster,Anthaster valvulatus,"Anthaster valvulatus (Müller & Troschel, 1843)",Anthaster valvulatus,ACCEPTED,100,EXACT,2019-02-04T16:33:33Z
2336964,SPECIES,Aploactisoma milesii,Aploactisoma milesii,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Aploactinidae,Aploactisoma,Aploactisoma milesii,"Aploactisoma milesii (Richardson, 1850)",Aploactisoma milesii,ACCEPTED,100,EXACT,2019-02-04T16:33:33Z
2394719,SPECIES,Aplodactylus arctidens,Aplodactylus arctidens,Animalia,Chordata,Actinopterygii,Perciformes,Aplodactylidae,Aplodactylus,Aplodactylus arctidens,"Aplodactylus arctidens Richardson, 1839",Aplodactylus arctidens,ACCEPTED,100,EXACT,2019-02-04T16:33:33Z
2408028,SPECIES,Aracana aurita,Aracana aurita,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Aracanidae,Aracana,Aracana aurita,"Aracana aurita (Shaw, 1798)",Aracana aurita,ACCEPTED,100,EXACT,2019-02-04T16:33:34Z
2408032,SPECIES,Aracana ornata,Aracana ornata,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Aracanidae,Aracana,Aracana ornata,"Aracana ornata (Gray, 1838)",Aracana ornata,ACCEPTED,100,EXACT,2019-02-04T16:33:34Z
2380577,SPECIES,Arripis georgianus,Arripis georgianus,Animalia,Chordata,Actinopterygii,Perciformes,Arripidae,Arripis,Arripis georgianus,"Arripis georgianus (Valenciennes, 1831)",Arripis georgianus,ACCEPTED,100,EXACT,2019-02-04T16:33:35Z
2380580,SPECIES,Arripis truttacea,Arripis truttaceus,Animalia,Chordata,Actinopterygii,Perciformes,Arripidae,Arripis,Arripis truttacea,"Arripis truttacea (Cuvier, 1829)",Arripis truttacea,ACCEPTED,97,FUZZY,2019-02-04T16:33:35Z
5859882,SPECIES,Bellastraea aurea,Astralium aureum,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Bellastraea,Bellastraea aurea,"Bellastraea aurea (Jonas, 1844)",Bellastraea aurea,ACCEPTED,NA,Synonym,2019-02-04T16:33:36Z
5190312,GENUS,Astralium,Astralium spp.,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Astralium,NA,"Astralium Link, 1807",Astralium,ACCEPTED,83,EXACT,2019-02-04T16:33:37Z
6514690,SPECIES,Bellastraea squamifera,Astralium squamiferum,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Bellastraea,Bellastraea squamifera,"Bellastraea squamifera (Koch, 1844)",Bellastraea squamifera,ACCEPTED,NA,Synonym,2019-02-04T16:33:37Z
1,KINGDOM,Animalia,Atherinid spp.,Animalia,NA,NA,NA,NA,NA,NA,Animalia,Animalia,ACCEPTED,99,HIGHERRANK,2019-02-04T16:33:38Z
5818819,SPECIES,Australostichopus mollis,Australostichopus mollis,Animalia,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Australostichopus,Australostichopus mollis,"Australostichopus mollis (Hutton, 1872)",Australostichopus mollis,ACCEPTED,100,EXACT,2019-02-04T16:33:38Z
4646232,SPECIES,Austrodromidia octodentata,Austrodromidia octodentata,Animalia,Arthropoda,Malacostraca,Decapoda,Majidae,Austrodromidia,Austrodromidia octodentata,"Austrodromidia octodentata Haswell, 1882",Austrodromidia octodentata,ACCEPTED,100,EXACT,2019-02-04T16:33:39Z
2383954,SPECIES,Austrolabrus maculatus,Austrolabrus maculatus,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Austrolabrus,Austrolabrus maculatus,"Austrolabrus maculatus (Macleay, 1881)",Austrolabrus maculatus,ACCEPTED,100,EXACT,2019-02-04T16:33:39Z
4593934,SPECIES,Barbatia pistachia,Barbatia pistachia,Animalia,Mollusca,Bivalvia,Arcida,Arcidae,Barbatia,Barbatia pistachia,"Barbatia pistachia (Lamarck, 1819)",Barbatia pistachia,ACCEPTED,100,EXACT,2019-02-04T16:33:40Z
2377106,SPECIES,Bathygobius krefftii,Bathygobius krefftii,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Bathygobius,Bathygobius krefftii,"Bathygobius krefftii (Steindachner, 1866)",Bathygobius krefftii,ACCEPTED,100,EXACT,2019-02-04T16:33:40Z
9568834,SPECIES,Bathytoshia lata,Bathytoshia lata,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Bathytoshia,Bathytoshia lata,"Bathytoshia lata (Garman, 1880)",Bathytoshia lata,ACCEPTED,100,EXACT,2019-02-04T16:33:41Z
1,KINGDOM,Animalia,Blenniid spp.,Animalia,NA,NA,NA,NA,NA,NA,Animalia,Animalia,ACCEPTED,99,HIGHERRANK,2019-02-04T16:33:41Z
