propMAlgae,GSiteID,SurveyID,TransectID,SurveyDate,SiteName,Composition,points,Macroalgae,Year,time
0.99,1,9,30,2017-03-07T00:00:00Z,Carrickalinga South Bay,Schist,100,99,2017,-0.5
0.97,1,9,31,2017-03-07T00:00:00Z,Carrickalinga South Bay,Schist,100,97,2017,-0.5
0.98,1,9,32,2017-03-07T00:00:00Z,Carrickalinga South Bay,Schist,100,98,2017,-0.5
0.96,1,9,33,2017-03-07T00:00:00Z,Carrickalinga South Bay,Schist,100,96,2017,-0.5
0.89,1,10,34,2018-03-07T00:00:00Z,Carrickalinga South Bay,Schist,100,89,2018,0.5
0.98,1,10,35,2018-03-07T00:00:00Z,Carrickalinga South Bay,Schist,100,98,2018,0.5
0.79,1,10,36,2018-03-07T00:00:00Z,Carrickalinga South Bay,Schist,100,79,2018,0.5
0.87,1,10,37,2018-03-07T00:00:00Z,Carrickalinga South Bay,Schist,100,87,2018,0.5
0.93,3,21,73,2018-05-16T00:00:00Z,Carrickalinga Head,Schist,100,93,2018,0.5
0.99,3,21,74,2018-05-16T00:00:00Z,Carrickalinga Head,Schist,100,99,2018,0.5
0.89,3,21,75,2018-05-16T00:00:00Z,Carrickalinga Head,Schist,100,89,2018,0.5
0.99,3,21,76,2018-05-16T00:00:00Z,Carrickalinga Head,Schist,100,99,2018,0.5
0.78,3,151,588,2017-03-26T00:00:00Z,Carrickalinga Head,Schist,100,78,2017,-0.5
0.43,3,151,589,2017-03-26T00:00:00Z,Carrickalinga Head,Schist,100,43,2017,-0.5
0.88,3,151,590,2017-03-26T00:00:00Z,Carrickalinga Head,Schist,100,88,2017,-0.5
0.93,3,151,591,2017-03-26T00:00:00Z,Carrickalinga Head,Schist,100,93,2017,-0.5
0.79,9,58,220,2017-04-04T00:00:00Z,Dodd's Beach,Schist,100,79,2017,-0.5
0.79,9,58,221,2017-04-04T00:00:00Z,Dodd's Beach,Schist,100,79,2017,-0.5
0.81,9,58,222,2017-04-04T00:00:00Z,Dodd's Beach,Schist,100,81,2017,-0.5
0.86,9,58,223,2017-04-04T00:00:00Z,Dodd's Beach,Schist,100,86,2017,-0.5
0.97,9,59,224,2018-03-07T00:00:00Z,Dodd's Beach,Schist,100,97,2018,0.5
0.92,9,59,225,2018-03-07T00:00:00Z,Dodd's Beach,Schist,100,92,2018,0.5
0.67,9,59,226,2018-03-07T00:00:00Z,Dodd's Beach,Schist,100,67,2018,0.5
0.8,9,59,227,2018-03-07T00:00:00Z,Dodd's Beach,Schist,95,76,2018,0.5
0.94,11,68,260,2017-04-14T00:00:00Z,Outside Granite Island,Granite,100,94,2017,-0.5
0.97,11,68,261,2017-04-14T00:00:00Z,Outside Granite Island,Granite,100,97,2017,-0.5
0.99,11,68,262,2017-04-14T00:00:00Z,Outside Granite Island,Granite,100,99,2017,-0.5
1,11,68,263,2017-04-14T00:00:00Z,Outside Granite Island,Granite,100,100,2017,-0.5
0.98,11,495,1850,2018-01-27T00:00:00Z,Outside Granite Island,Granite,100,98,2018,0.5
0.9,11,495,1851,2018-01-27T00:00:00Z,Outside Granite Island,Granite,100,90,2018,0.5
0.85,11,495,1852,2018-01-27T00:00:00Z,Outside Granite Island,Granite,100,85,2018,0.5
0.95,11,495,1853,2018-01-27T00:00:00Z,Outside Granite Island,Granite,100,95,2018,0.5
0.8585858585858586,12,71,272,2017-05-09T00:00:00Z,West Island,Granite,99,85,2017,-0.5
0.94,12,71,273,2017-05-09T00:00:00Z,West Island,Granite,100,94,2017,-0.5
0.98,12,71,274,2017-05-09T00:00:00Z,West Island,Granite,100,98,2017,-0.5
0.74,12,71,275,2017-05-09T00:00:00Z,West Island,Granite,100,74,2017,-0.5
