time,Year,SiteName,n,nCheck,modMedian,modMean,modci90lo,modci90up,ci,text
-0.5,2017,Aldinga Pinacles,4e3,4e3,0.85,0.83,0.63,0.97,0.34,0.34 (0.63 to 0.97)
-0.5,2017,Backstairs deep,4e3,4e3,0.93,0.91,0.75,1,0.24,0.24 (0.75 to 1)
-0.5,2017,Basham's Beach,4e3,4e3,0.93,0.91,0.75,1,0.25,0.25 (0.75 to 1)
-0.5,2017,Broken Bottom,4e3,4e3,0.69,0.68,0.45,0.88,0.44,0.44 (0.45 to 0.88)
-0.5,2017,Cape Jervis South,4e3,4e3,0.84,0.83,0.63,0.97,0.34,0.34 (0.63 to 0.97)
-0.5,2017,Carrickalinga Head,4e3,4e3,0.8,0.78,0.57,0.94,0.38,0.38 (0.57 to 0.94)
-0.5,2017,Carrickalinga North 3,4e3,4e3,0.85,0.83,0.63,0.97,0.34,0.34 (0.63 to 0.97)
-0.5,2017,Carrickalinga South Bay,4e3,4e3,0.97,0.95,0.84,1,0.16,0.16 (0.84 to 1)
-0.5,2017,Chiton Rocks,4e3,4e3,0.58,0.57,0.33,0.8,0.47,0.47 (0.33 to 0.8)
-0.5,2017,Deep Creek,4e3,4e3,0.97,0.94,0.82,1,0.18,0.18 (0.82 to 1)
-0.5,2017,Dodd's Beach,4e3,4e3,0.81,0.8,0.58,0.95,0.37,0.37 (0.58 to 0.95)
-0.5,2017,Encounter Deep,4e3,4e3,0.97,0.95,0.82,1,0.18,0.18 (0.82 to 1)
-0.5,2017,Fishery Beach,4e3,4e3,0.97,0.95,0.83,1,0.17,0.17 (0.83 to 1)
-0.5,2017,Flat irons,4e3,4e3,1,0.98,0.9,1,0.1,0.1 (0.9 to 1)
-0.5,2017,Horseshoe inner,4e3,4e3,0.66,0.65,0.42,0.87,0.44,0.44 (0.42 to 0.87)
-0.5,2017,Lady Bay,4e3,4e3,0.68,0.67,0.43,0.87,0.44,0.44 (0.43 to 0.87)
-0.5,2017,Moana outside,4e3,4e3,0.99,0.97,0.87,1,0.13,0.13 (0.87 to 1)
-0.5,2017,Myponga,4e3,4e3,0.6,0.6,0.35,0.82,0.47,0.47 (0.35 to 0.82)
-0.5,2017,Newland Head,4e3,4e3,0.96,0.94,0.81,1,0.19,0.19 (0.81 to 1)
-0.5,2017,Noarlunga North Outside,4e3,4e3,0.33,0.33,0.13,0.56,0.43,0.43 (0.13 to 0.56)
-0.5,2017,Noarlunga South Outside,4e3,4e3,0.36,0.37,0.16,0.62,0.46,0.46 (0.16 to 0.62)
