time,SiteName,tax,Year,n,nCheck,modMedian,modMean,modci90lo,modci90up,text
2,Aldinga Pinnacles,Fish,2018,6000,6000,21,21.7155,12,33,21 (12 to 33)
2,Aldinga Pinnacles,Invert,2018,6000,6000,5,4.986166666666667,1,10,5 (1 to 10)
2,Backstairs Deep,Fish,2018,6000,6000,10,10.204666666666666,4,17,10 (4 to 17)
2,Backstairs Deep,Invert,2018,6000,6000,15,15.298333333333334,8,25,15 (8 to 25)
2,Basham's Beach,Fish,2018,6000,6000,1,1.1073333333333333,0,4,1 (0 to 4)
2,Basham's Beach,Invert,2018,6000,6000,8,8.538,3,15,8 (3 to 15)
2,Broken Bottom,Fish,2018,6000,6000,11,11.581666666666667,5,19,11 (5 to 19)
2,Broken Bottom,Invert,2018,6000,6000,10,10.532833333333333,4,18,10 (4 to 18)
2,Cape Jervis South,Fish,2018,6000,6000,7,7.5865,3,14,7 (3 to 14)
2,Cape Jervis South,Invert,2018,6000,6000,6,6.152166666666667,2,12,6 (2 to 12)
2,Carrickalinga Head,Fish,2018,6000,6000,10,10.425666666666666,5,17,10 (5 to 17)
2,Carrickalinga Head,Invert,2018,6000,6000,6,6.040333333333334,2,11,6 (2 to 11)
2,Carrickalinga North3,Fish,2018,6000,6000,16,16.3515,8,26,16 (8 to 26)
2,Carrickalinga North3,Invert,2018,6000,6000,5,4.8715,1,9,5 (1 to 9)
2,Carrickalinga South Bay,Fish,2018,6000,6000,16,15.997333333333334,8,25,16 (8 to 25)
2,Carrickalinga South Bay,Invert,2018,6000,6000,4,4.068833333333333,1,8,4 (1 to 8)
2,Chiton Rocks,Fish,2018,6000,6000,4,3.9678333333333335,1,8,4 (1 to 8)
2,Chiton Rocks,Invert,2018,6000,6000,5,5.8228333333333335,2,11,5 (2 to 11)
2,Deep Creek,Fish,2018,6000,6000,12,12.506,6,21,12 (6 to 21)
2,Deep Creek,Invert,2018,6000,6000,12,12.661,6,21,12 (6 to 21)
2,Dodd's Beach,Fish,2018,6000,6000,14,14.5615,7,23,14 (7 to 23)
2,Dodd's Beach,Invert,2018,6000,6000,6,6.0103333333333335,2,11,6 (2 to 11)
2,Encounter Deep,Fish,2018,6000,6000,4,4.551833333333334,1,9,4 (1 to 9)
2,Encounter Deep,Invert,2018,6000,6000,6,6.355166666666666,2,12,6 (2 to 12)
2,Fishery Beach,Fish,2018,6000,6000,6,6.067333333333333,2,11,6 (2 to 11)
2,Fishery Beach,Invert,2018,6000,6000,8,8.675666666666666,3,15,8 (3 to 15)
2,Flat Irons,Fish,2018,6000,6000,8,8.197166666666666,3,14,8 (3 to 14)
2,Flat Irons,Invert,2018,6000,6000,13,13.363,6,22,13 (6 to 22)
