time,Year,Subregion,tax,n,nCheck,modMedian,modMean,modci90lo,modci90up
-11,2005,4,Fish,6000,6000,15,15.2675,7,25
-11,2005,4,Invert,6000,6000,5,4.8625,1,9
-11,2005,6,Fish,6000,6000,8,8.447833333333334,3,15
-11,2005,6,Invert,6000,6000,8,8.705166666666667,3,16
-11,2005,7,Fish,6000,6000,8,8.55,3,15
-11,2005,7,Invert,6000,6000,7,6.952166666666667,2,13
-10,2006,4,Fish,6000,6000,15,14.976333333333333,7,24
-10,2006,4,Invert,6000,6000,5,4.889833333333334,1,9
-10,2006,7,Fish,6000,6000,8,8.371,3,15
-10,2006,7,Invert,6000,6000,7,6.995833333333334,2,13
-9,2007,4,Fish,6000,6000,14,14.6165,7,24
-9,2007,4,Invert,6000,6000,5,4.8693333333333335,1,9
-9,2007,5,Fish,6000,6000,12,12.1625,5,21
-9,2007,5,Invert,6000,6000,9,9.404833333333332,4,17
-9,2007,6,Fish,6000,6000,8,8.448166666666667,3,15
-9,2007,6,Invert,6000,6000,9,8.996,3,16
-9,2007,7,Fish,6000,6000,8,8.226833333333333,3,15
-9,2007,7,Invert,6000,6000,7,7.2123333333333335,3,13
-8,2008,4,Fish,6000,6000,14,14.3575,7,23
-8,2008,4,Invert,6000,6000,5,4.877,1,9
-5,2011,4,Fish,6000,6000,13,13.437333333333333,6.949999999999989,22
-5,2011,4,Invert,6000,6000,5,4.867666666666667,1,9
-4,2012,4,Fish,6000,6000,13,13.239833333333333,6,22
-4,2012,4,Invert,6000,6000,5,4.926833333333334,1,9
-4,2012,6,Fish,6000,6000,8,8.540166666666666,3,15
-4,2012,6,Invert,6000,6000,9,9.559,4,17
-4,2012,7,Fish,6000,6000,7,7.599833333333334,3,14
-4,2012,7,Invert,6000,6000,8,7.944166666666667,3,14
-3,2013,4,Fish,6000,6000,13,13.018333333333333,6,21
-3,2013,4,Invert,6000,6000,5,4.882333333333333,1,9
-3,2013,7,Fish,6000,6000,7,7.440333333333333,3,13
-3,2013,7,Invert,6000,6000,8,8.158333333333333,3,14
-2,2014,4,Fish,6000,6000,12,12.704833333333333,6,21
-2,2014,4,Invert,6000,6000,5,4.887333333333333,1,9
-1,2015,1,Fish,6000,6000,4,4.4085,1,9
-1,2015,1,Invert,6000,6000,8,8.916,3,16
-1,2015,2,Fish,6000,6000,12,12.845,5,23
-1,2015,2,Invert,6000,6000,9,10.020833333333334,4,19
-1,2015,3,Fish,6000,6000,8,7.925833333333333,3,14
-1,2015,3,Invert,6000,6000,12,12.395,5,21
0,2016,1,Fish,6000,6000,5,5.1258333333333335,1,10
0,2016,1,Invert,6000,6000,7,6.924166666666666,2,13
0,2016,2,Fish,6000,6000,13,13.7495,6,24
0,2016,2,Invert,6000,6000,9,9.491833333333334,3,17
0,2016,3,Fish,6000,6000,10,10.136666666666667,4,18
0,2016,3,Invert,6000,6000,11,10.977166666666667,5,19
0,2016,4,Fish,6000,6000,12,12.236333333333333,6,20
0,2016,4,Invert,6000,6000,5,4.920166666666667,1,9
1,2017,1,Fish,6000,6000,6,5.955166666666667,2,12
1,2017,1,Invert,6000,6000,5,5.2655,1,10
1,2017,2,Fish,6000,6000,14,14.7415,6,26
1,2017,2,Invert,6000,6000,9,9.125166666666667,3,17
1,2017,3,Fish,6000,6000,12,12.8875,6,22
1,2017,3,Invert,6000,6000,9,9.706833333333334,4,17
1,2017,4,Fish,6000,6000,12,12.073166666666667,5,20
1,2017,4,Invert,6000,6000,5,4.911,1,9
1,2017,5,Fish,6000,6000,9,9.542666666666667,4,17
1,2017,5,Invert,6000,6000,9,9.418,4,17
1,2017,6,Fish,6000,6000,8,8.732166666666666,3,16
1,2017,6,Invert,6000,6000,10,10.2475,4,18
1,2017,7,Fish,6000,6000,7,6.972333333333333,2,13
1,2017,7,Invert,6000,6000,8,8.83,3,16
2,2018,1,Fish,6000,6000,7,7.035833333333334,2,13
2,2018,1,Invert,6000,6000,4,4.145666666666667,1,9
2,2018,2,Fish,6000,6000,15,15.893333333333333,7,28
2,2018,2,Invert,6000,6000,8,8.7195,3,17
2,2018,3,Fish,6000,6000,16,16.494,8,27
2,2018,3,Invert,6000,6000,8,8.6115,3,15
2,2018,4,Fish,6000,6000,11,11.797166666666667,5,19
2,2018,4,Invert,6000,6000,5,4.892666666666667,1,9
2,2018,5,Fish,6000,6000,9,9.413,4,17
2,2018,5,Invert,6000,6000,9,9.473166666666666,4,17
2,2018,6,Fish,6000,6000,8,8.848833333333333,3,16
2,2018,6,Invert,6000,6000,10,10.333833333333333,4,18
2,2018,7,Fish,6000,6000,7,6.861,2,13
2,2018,7,Invert,6000,6000,9,9.016333333333334,4,16
